link;status;tags;sequence;link_id;article_title;article_author;article_excerpt;categories;site_manual;link_type;img_file;post_date_manual;media_type;img_type;img_url;profile_image_url;author_url;post_date;processed_date
https://nightingaledvs.com/the-dubois-challenge/;processed;none;2127;L02127;The #DuBois Challenge;Anthony Starks;Nightingale The Journal of the Data Visualization Society In February 2021, people on Twitter were challenged to re-create the historical data visualizations of W.E.B. Du Bois. The goal of the challenge was to celebrate his data visualization le...;dataviz;https://nightingaledvs.com;website;img/img-L02127.jpg;2022-02-01;NA;non;https://i0.wp.com/nightingaledvs.com/wp-content/uploads/2022/02/AJStarks.jpg?fit=117%2C150&ssl=1;NA;NA;2022-02-01;2022-07-28
https://leafmap.org/notebooks/46_edit_vector/;processed;none;2124;L02124;46 edit vector;Leafmap; Uncomment the following line to install leafmap if needed. Create an interactive map. Add existing vector data to the map. Edit the existing vector data using the drawing tools and save the resulting vector data as GeoJSON, Shapefile, or GeoP...;cartography;https://leafmap.org;website;img/img-L02124.non;2022-07-22 ;NA;non;/static/img/article_images/img-l02124.png;NA;NA;2022-07-22 ;2022-07-28
https://nightingaledvs.com/how-can-we-use-comics-to-tell-data-stories/;processed;none;2123;L02123;REVIEW: How Can We Use Comics to Tell Data Stories?;Neil Richards;Nightingale The Journal of the Data Visualization Society This post is a review of From Data to Stories, a book from Richie Lionell and Ramya Mylavarapu of Gramener, described on its front page as, “an end to end guide to Storytelling with Data ...;dataviz;https://nightingaledvs.com;website;img/img-L02123.jpg;2022-01-26;NA;non;https://i0.wp.com/nightingaledvs.com/wp-content/uploads/2022/05/Necessity-Tiziana-Alocci-Victoria-2-scaled.jpg?fit=450%2C300&ssl=1;NA;NA;2022-01-26;2022-07-28
https://www.statlearning.com/;processed;none;2122;L02122;An Introduction to Statistical Learning;Gareth James, Daniela Witten et al.;As the scale and scope of data collection continue to increase across virtually all fields, statistical learning has become a critical toolkit for anyone who wishes to understand data. An Introduction to Statistical Learning provides a broad and l...;"stats;learning;book";https://www.statlearning.com;website;img/img-L02122.jpg;Undated;NA;jpg;https://images.squarespace-cdn.com/content/v1/5ff2adbe3fe4fe33db902812/1628117040643-Y8N1UKVM6B3TRA0J608P/DanielaWitten_300x300_2.jpg;NA;NA;Undated;2022-07-28
https://statisticsglobe.com/draw-ggplot2-barplot-round-corners-r;processed;none;2121;L02121;Draw ggplot2 Barplot with Round Corners in R (2 Examples) | ggchicklet Package;Joachim Schork;  In this tutorial, I’ll demonstrate how to create a ggplot2 barchart with rounded bars using the ggchicklet package in the R programming language. The content of the page is structured as follows: Let’s do this…   The ggchicklet package, cre...;"stats;learning;rstats;dataviz";https://statisticsglobe.com;website;img/img-L02121.jpg;Undated;NA;jpg;https://statisticsglobe.com/wp-content/uploads/2020/08/Joachim-Schork-Statistics-Globe-tiny.jpg;NA;NA;Undated;2022-07-28
https://cloud.google.com/training/data-engineering-and-analytics;processed;none;2118;L02118;Data engineering and smart analytics;Google;Accelerate your learning and growth with Google Cloud Innovators. Join now The need for data analysis skills grew by 86% from 2013 to 2018. 1 Become data-driven with Google Cloud. Leverage data and gain real-time insights that improve your decisi...;"learning;certification;analytics";https://cloud.google.com;website;img/img-L02118.jpg;Undated;NA;png;/static/img/article_images/img-l02118.png;NA;NA;Undated;2022-07-28
https://arxiv.org/abs/2103.10292;processed;none;2117;L02117;How I failed machine learning in medical imaging -- shortcomings and recommendations;Gaël Varoquaux, Veronika Cheplygina;Medical imaging is an important research field with many opportunities for improving patients' health. However, there are a number of challenges that are slowing down the progress of the field as a whole, such optimizing for publication. In this paper we reviewed several problems related to choosing datasets, methods, evaluation metrics, and publication strategies.;"machinelearning;pitfall;cautionarytale";https://arxiv.org;website;img/img-L02117.non;2022-05-12;NA;non;/static/img/article_images/img-l02117.png;NA;NA;2022-05-12;2022-07-28
https://www.computerweekly.com/feature/Fuzzy-logic-the-challenge-of-building-data-science-teams;processed;none;2116;L02116;Fuzzy logic: The challenge of building data science teams;Marc Ambasna-Jones;metamorworks - stock.adobe.com “There is no doubt that data science is one of the most challenging areas to recruit and retain teams,” says Richard James, senior data recruiter at tech recruitment and outsourcing consultancy Harvey Nash. It’s the...;"organization;process;pitfall";https://www.computerweekly.com;website;img/img-L02116.jpg;2022-01-06;NA;jpg;https://cdn.ttgtmedia.com/Editorial/2019/Marc-Ambasna-Jones-CW-contributor.jpg;NA;NA;2022-01-06;2022-07-28
http://www.creativebloq.com/design-tools/data-visualization-712402;processed;none;2115;L02115;35 incredible dataviz tools;Brian Suda , Sam Hampton-Smith;Creative Bloq is supported by its audience. When you purchase through links on our site, we may earn an affiliate commission. Here’s why you can trust us.  By Brian Suda , Sam Hampton-Smith published 12 February 19 Take the hard work out of cre...;"dataviz;tool";http://www.creativebloq.com;website;img/img-L02115.non;2019-02-12;NA;non;/static/img/article_images/img-l02115.png;NA;NA;2019-02-12;2022-07-28
https://www.creativebloq.com/graphic-design-tips/information-graphics-1232836;processed;none;2114;L02114;63 of the best infographics;Georgia Coggan;Creative Bloq is supported by its audience. When you purchase through links on our site, we may earn an affiliate commission. Here’s why you can trust us.  By Georgia Coggan published 16 September 21 Looking for the best infographics to inspire...;"davatviz;example;inspiration";https://www.creativebloq.com;website;img/img-L02114.jpg;2021-09-16;NA;jpg;https://cdn.mos.cms.futurecdn.net/tLzALnaAA9yCioLdTcVwhm-320-80.jpg;NA;NA;2021-09-16;2022-07-28
